Angle,d_Angle,RunTime,Run1,Run2,Run_Avg,Run_Std,d_Count
42,0.1,90,945,908,927,26,0.0282
46,0.1,90,885,928,907,30,0.0335
50,0.1,90,898,884,891,10,0.0111
54,0.1,90,905,911,908,4,0.0047
58,0.1,90,958,926,942,23,0.0240
62,0.1,90,1305,1349,1327,31,0.0234
66,0.1,90,2332,2461,2397,91,0.0381
70,0.1,90,4157,4231,4194,52,0.0125
74,0.1,90,5963,5980,5972,12,0.0020
78,0.1,90,8890,8937,8914,33,0.0037
82,0.1,90,11361,11072,11217,204,0.0182
86,0.1,90,13542,13670,13606,91,0.0067
90,0.1,90,14534,14510,14522,17,0.0012
94,0.1,90,13764,13485,13625,197,0.0145
98,0.1,90,11074,11226,11150,107,0.0096
102,0.1,90,8707,8693,8700,10,0.0011
106,0.1,90,6258,6264,6261,4,0.0007
110,0.1,90,4074,4068,4071,4,0.0010
114,0.1,90,2228,2285,2257,40,0.0179
118,0.1,90,1152,1180,1166,20,0.0170
122,0.1,90,924,939,932,11,0.0114
126,0.1,90,905,922,914,12,0.0132
130,0.1,90,902,888,895,10,0.0111
134,0.1,90,948,917,933,22,0.0235
180,0.1,90,987,988,988,1,0.0007
,,,,,,,
Background,,,,,,,
Pb Block (90s),98,,,,,,
No sample,,,11.5,,,,